DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1993-01-31,43.97,43.97,43.75,43.94,1000000.0,-0.07,0.22,1000000.0,1
1993-02-28,43.97,45.13,42.81,44.41,5420000.0,1.0,2.32,285263.0,19
1993-03-31,44.56,45.84,44.22,45.19,3020000.0,1.41,1.62,131304.0,23
1993-04-30,45.25,45.25,43.28,44.03,2701000.0,-2.7,1.97,128619.0,21
1993-05-31,44.09,45.66,43.84,45.22,1809000.0,2.56,1.82,90450.0,20
1993-06-30,45.38,45.81,44.22,45.06,3439000.0,-0.71,1.59,156318.0,22
1993-07-31,45.13,45.22,44.16,44.84,6117000.0,-0.64,1.06,291286.0,21
1993-08-31,44.91,46.56,44.84,46.56,5442000.0,3.67,1.72,247364.0,22
1993-09-30,46.41,46.59,44.81,45.94,4372000.0,-1.01,1.78,208190.0,21
1993-10-31,45.88,47.16,45.72,46.84,6931000.0,2.09,1.44,330048.0,21
1993-11-30,46.78,47.0,45.53,46.34,5332000.0,-0.94,1.47,253905.0,21
1993-12-31,46.59,47.16,46.38,46.59,6131000.0,0.0,0.78,278682.0,22
1994-01-31,46.59,48.31,46.41,48.22,6838000.0,3.5,1.9,325619.0,21
1994-02-28,48.16,48.28,46.56,46.81,10930000.0,-2.8,1.72,575263.0,19
1994-03-31,46.81,47.31,43.53,44.59,14667000.0,-4.74,3.78,637696.0,23
1994-04-30,43.34,45.36,43.34,45.09,11413000.0,4.04,2.02,600684.0,19
1994-05-31,45.09,45.94,44.17,45.81,8544000.0,1.6,1.77,406857.0,21
1994-06-30,45.7,46.56,44.0,44.47,10372000.0,-2.69,2.56,471455.0,22
1994-07-31,44.69,46.05,44.38,45.91,5452000.0,2.73,1.67,272600.0,20
1994-08-31,45.94,47.98,45.66,47.66,7957000.0,3.74,2.32,345957.0,23
1994-09-30,47.5,47.72,45.73,46.17,6311000.0,-2.8,1.99,300524.0,21
1994-10-31,46.2,47.7,45.0,47.48,5473000.0,2.77,2.7,260619.0,21
1994-11-30,47.28,47.33,44.61,45.59,4808000.0,-3.57,2.72,228952.0,21
1994-12-31,45.64,46.41,44.69,45.56,8540000.0,-0.18,1.72,406667.0,21
1995-01-31,45.7,47.23,45.69,47.09,2770000.0,3.04,1.54,131905.0,21
1995-02-28,47.16,49.16,47.0,49.02,5956000.0,3.94,2.16,313474.0,19
1995-03-31,48.97,50.89,48.22,50.11,4539000.0,2.33,2.67,197348.0,23
1995-04-30,50.09,51.67,50.06,51.59,4394000.0,2.99,1.61,231263.0,19
1995-05-31,51.55,53.64,51.39,53.64,6989000.0,4.05,2.25,317682.0,22
1995-06-30,53.41,55.16,52.75,54.41,5792000.0,1.87,2.41,263273.0,22
1995-07-31,54.47,56.7,54.2,56.16,5511000.0,3.1,2.5,275550.0,20
1995-08-31,56.23,56.8,55.42,56.41,8073000.0,0.32,1.38,351000.0,23
1995-09-30,56.39,58.91,56.34,58.48,7435000.0,3.71,2.57,371750.0,20
1995-10-31,58.48,59.19,57.27,58.31,8946000.0,-0.29,1.92,406636.0,22
1995-11-30,58.28,61.2,58.23,60.91,8843000.0,4.51,2.97,421095.0,21
1995-12-31,60.98,62.8,60.58,61.48,9746000.0,0.82,2.22,487300.0,20
1996-01-31,61.41,63.69,59.64,63.67,10625000.0,3.68,4.05,482955.0,22
1996-02-29,63.61,66.69,63.44,63.88,14739000.0,0.42,3.25,736950.0,20
1996-03-31,64.64,65.97,62.0,64.69,19064000.0,0.08,3.97,907810.0,21
1996-04-30,65.0,65.81,62.13,65.39,15025000.0,0.6,3.68,715476.0,21
1996-05-31,65.38,68.44,63.08,66.88,17413000.0,2.29,5.36,791500.0,22
1996-06-30,66.89,68.5,66.16,67.11,16871000.0,0.33,2.34,843550.0,20
1996-07-31,67.28,67.7,60.38,64.09,28798000.0,-4.74,7.32,1309000.0,22
1996-08-31,64.16,67.34,64.06,65.33,15625000.0,1.82,3.28,710227.0,22
1996-09-30,64.47,69.25,64.38,68.63,17283000.0,6.45,4.87,864150.0,20
1996-10-31,68.7,71.63,68.44,70.84,14828000.0,3.11,3.19,644696.0,23
1996-11-30,70.98,76.69,70.27,76.02,24222000.0,7.1,6.42,1211100.0,20
1996-12-31,75.92,76.58,71.88,73.84,35037000.0,-2.74,4.7,1668429.0,21
1997-01-31,74.38,79.69,72.75,78.41,43639000.0,5.42,6.94,1983591.0,22
1997-02-28,78.72,82.0,77.13,79.16,30177000.0,0.56,4.87,1588263.0,19
1997-03-31,78.75,81.8,75.25,75.38,37525000.0,-4.28,6.55,1876250.0,20
1997-04-30,75.25,80.69,73.31,80.09,57800000.0,6.43,7.38,2627273.0,22
1997-05-31,80.22,85.56,79.31,85.16,37353000.0,6.16,6.25,1778714.0,21
1997-06-30,85.34,90.5,84.08,88.31,47400000.0,3.48,6.42,2257143.0,21
1997-07-31,88.5,96.03,88.39,95.31,65400000.0,7.69,7.64,2972727.0,22
1997-08-31,95.5,96.63,89.34,90.38,99200000.0,-5.36,7.29,4723810.0,21
1997-09-30,90.69,96.38,90.25,94.38,78804000.0,4.07,6.13,3752571.0,21
1997-10-31,95.25,98.5,84.38,92.06,137500000.0,-3.35,14.12,5978261.0,23
1997-11-30,93.19,96.81,90.09,95.63,93000000.0,2.62,6.72,4894737.0,19
1997-12-31,96.22,99.0,92.38,97.06,79442000.0,0.87,6.62,3611000.0,22
1998-01-31,97.31,99.56,90.91,98.31,104700000.0,1.03,8.65,5235000.0,20
1998-02-28,99.91,105.53,99.72,105.13,69900000.0,5.22,5.81,3678947.0,19
1998-03-31,105.25,111.53,103.16,109.94,87300000.0,4.46,8.37,3968182.0,22
1998-04-30,110.31,113.44,107.63,111.34,118900000.0,0.93,5.81,5661905.0,21
1998-05-31,111.75,113.31,107.58,109.03,116000000.0,-2.43,5.73,5800000.0,20
1998-06-30,108.97,114.69,107.5,113.31,142100000.0,3.98,7.19,6459091.0,22
1998-07-31,114.06,119.23,111.31,111.78,155100000.0,-2.0,7.92,7050000.0,22
1998-08-31,111.78,112.42,95.0,96.0,268700000.0,-14.12,17.42,12795238.0,21
1998-09-30,96.06,107.0,93.63,101.75,269000000.0,5.92,13.37,12809524.0,21
1998-10-31,100.03,110.91,92.22,110.0,249100000.0,9.97,18.69,11322727.0,22
1998-11-30,110.81,119.72,110.19,116.13,136400000.0,4.8,9.53,6820000.0,20
1998-12-31,116.13,124.75,113.75,123.31,156000000.0,6.18,11.0,7090909.0,22
1999-01-31,123.38,128.5,120.38,127.66,141300000.0,3.47,8.12,7436842.0,19
1999-02-28,128.69,128.84,121.33,123.56,164600000.0,-3.99,7.51,8663158.0,19
1999-03-31,123.66,132.63,121.78,128.38,148300000.0,3.82,10.85,6447826.0,23
1999-04-30,129.69,137.5,128.13,133.25,156800000.0,2.75,9.37,7466667.0,21
1999-05-31,133.44,138.0,128.0,130.2,182700000.0,-2.43,10.0,9135000.0,20
1999-06-30,130.13,137.5,128.02,137.0,160800000.0,5.28,9.48,7309091.0,22
1999-07-31,137.0,142.25,132.56,132.75,115700000.0,-3.1,9.69,5509524.0,21
1999-08-31,132.75,138.78,127.0,132.06,142900000.0,-0.52,11.78,6495455.0,22
1999-09-30,132.94,136.63,125.56,128.75,168100000.0,-3.15,11.07,8004762.0,21
1999-10-31,127.94,137.69,123.44,137.0,196900000.0,7.08,14.25,9376190.0,21
1999-11-30,136.5,143.0,134.59,139.28,124900000.0,2.04,8.41,5947619.0,21
1999-12-31,139.31,147.56,139.0,146.88,121500000.0,5.43,8.56,5522727.0,22
2000-01-31,148.25,148.25,135.0,139.56,156800000.0,-5.86,13.25,7840000.0,20
2000-02-29,139.75,144.56,132.72,137.44,186700000.0,-1.65,11.84,9335000.0,20
2000-03-31,137.63,155.75,135.03,150.38,247700000.0,9.26,20.72,10769565.0,23
2000-04-30,150.13,153.11,133.5,145.09,229200000.0,-3.36,19.61,12063158.0,19
2000-05-31,146.56,148.48,136.5,142.81,161100000.0,-2.56,11.98,7322727.0,22
2000-06-30,143.69,149.16,143.0,145.28,127300000.0,1.11,6.16,5786364.0,22
2000-07-31,145.44,151.98,141.52,143.0,106800000.0,-1.68,10.46,5340000.0,20
2000-08-31,143.63,153.09,142.63,152.34,102600000.0,6.06,10.46,4460870.0,23
2000-09-30,153.25,153.59,142.13,143.63,113200000.0,-6.28,11.46,5660000.0,20
2000-10-31,144.28,145.75,130.16,142.95,178400000.0,-0.92,15.59,8109091.0,22
2000-11-30,142.25,144.3,129.75,132.28,156700000.0,-7.01,14.55,7461905.0,21
