DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1993-01-29,43.97,43.97,43.75,43.94,1000000.0,-0.07,0.22,1000000.0,1
1993-02-05,43.97,45.09,43.97,44.97,2235000.0,2.27,1.12,447000.0,5
1993-02-12,44.97,45.13,44.53,44.59,1161000.0,-0.85,0.6,232200.0,5
1993-02-19,44.47,44.47,42.81,43.56,999000.0,-2.05,1.66,249750.0,4
1993-02-26,43.69,44.44,43.47,44.41,1025000.0,1.65,0.97,205000.0,5
1993-03-05,44.56,45.19,44.22,44.75,659000.0,0.43,0.97,131800.0,5
1993-03-12,44.84,45.84,44.81,45.09,1129000.0,0.56,1.03,225800.0,5
1993-03-19,45.06,45.5,44.97,45.03,490000.0,-0.07,0.53,98000.0,5
1993-03-26,44.59,45.25,44.56,44.91,487000.0,0.72,0.69,97400.0,5
1993-04-02,44.94,45.47,44.09,44.09,444000.0,-1.89,1.38,88800.0,5
1993-04-09,44.44,44.53,44.06,44.28,511000.0,-0.36,0.47,127750.0,4
1993-04-16,44.72,45.16,44.66,44.94,812000.0,0.49,0.5,162400.0,5
1993-04-23,44.94,45.06,43.69,43.75,709000.0,-2.65,1.37,141800.0,5
1993-04-30,43.78,44.28,43.28,44.03,480000.0,0.57,1.0,96000.0,5
1993-05-07,44.09,44.75,43.91,44.34,462000.0,0.57,0.84,92400.0,5
1993-05-14,44.41,44.69,43.97,44.0,381000.0,-0.92,0.72,76200.0,5
1993-05-21,44.13,45.25,43.84,44.75,508000.0,1.4,1.41,101600.0,5
1993-05-28,44.84,45.66,44.84,45.22,458000.0,0.85,0.82,91600.0,5
1993-06-04,45.38,45.81,45.09,45.28,102000.0,-0.22,0.72,25500.0,4
1993-06-11,45.38,45.38,44.72,45.09,934000.0,-0.64,0.66,186800.0,5
1993-06-18,45.16,45.19,44.5,44.5,633000.0,-1.46,0.69,126600.0,5
1993-06-25,44.63,44.91,44.22,44.78,684000.0,0.34,0.69,136800.0,5
1993-07-02,45.0,45.28,44.53,44.69,1977000.0,-0.69,0.75,395400.0,5
1993-07-09,44.63,44.97,44.16,44.97,1216000.0,0.76,0.81,304000.0,4
1993-07-16,44.91,45.19,44.66,44.75,2041000.0,-0.36,0.53,408200.0,5
1993-07-23,44.75,44.84,44.47,44.72,1318000.0,-0.07,0.37,263600.0,5
1993-07-30,44.84,45.22,44.78,44.84,651000.0,0.0,0.44,130200.0,5
1993-08-06,44.91,45.19,44.84,44.97,996000.0,0.13,0.35,199200.0,5
1993-08-13,45.09,45.34,44.91,45.13,2383000.0,0.09,0.43,476600.0,5
1993-08-20,45.16,45.88,45.16,45.81,1135000.0,1.44,0.72,227000.0,5
1993-08-27,45.63,46.53,45.63,46.25,677000.0,1.36,0.9,135400.0,5
1993-09-03,46.28,46.59,46.25,46.38,1491000.0,0.22,0.34,298200.0,5
1993-09-10,46.38,46.44,45.59,46.41,812000.0,0.06,0.85,203000.0,4
1993-09-17,46.56,46.56,45.75,45.81,608000.0,-1.61,0.81,121600.0,5
1993-09-24,45.88,45.97,44.81,45.78,959000.0,-0.22,1.16,191800.0,5
1993-10-01,46.13,46.31,45.81,46.16,776000.0,0.07,0.5,155200.0,5
1993-10-08,46.22,46.38,45.72,46.06,1759000.0,-0.35,0.66,351800.0,5
1993-10-15,46.16,47.16,46.16,47.06,2240000.0,1.95,1.0,448000.0,5
1993-10-22,47.03,47.03,46.38,46.38,2279000.0,-1.38,0.65,455800.0,5
1993-10-29,46.41,46.97,46.28,46.84,630000.0,0.93,0.69,126000.0,5
1993-11-05,46.78,47.0,45.53,46.06,1270000.0,-1.54,1.47,254000.0,5
1993-11-12,46.09,46.75,45.97,46.59,859000.0,1.08,0.78,171800.0,5
1993-11-19,46.69,46.81,46.22,46.31,1123000.0,-0.81,0.59,224600.0,5
1993-11-26,46.19,46.59,45.88,46.5,1332000.0,0.67,0.71,333000.0,4
1993-12-03,46.63,46.72,46.25,46.72,1785000.0,0.19,0.47,357000.0,5
1993-12-10,46.78,46.94,46.5,46.59,1166000.0,-0.41,0.44,233200.0,5
1993-12-17,46.59,46.91,46.38,46.56,581000.0,-0.06,0.53,116200.0,5
1993-12-24,46.53,46.84,46.41,46.75,1219000.0,0.47,0.43,304750.0,4
1993-12-31,46.75,47.16,46.56,46.59,2128000.0,-0.34,0.6,425600.0,5
1994-01-07,46.59,47.06,46.41,47.03,2813000.0,0.94,0.65,562600.0,5
1994-01-14,47.09,47.59,46.97,47.41,1428000.0,0.68,0.62,285600.0,5
1994-01-21,47.41,47.53,47.25,47.38,752000.0,-0.06,0.28,150400.0,5
1994-01-28,47.34,48.03,47.09,47.88,1531000.0,1.14,0.94,306200.0,5
1994-02-04,48.06,48.31,46.97,46.97,2792000.0,-2.27,1.34,558400.0,5
1994-02-11,46.84,47.44,46.81,47.16,2252000.0,0.68,0.63,450400.0,5
1994-02-18,47.06,47.69,46.75,46.88,4018000.0,-0.38,0.94,803600.0,5
1994-02-25,47.0,47.44,46.56,46.81,1849000.0,-0.4,0.88,462250.0,4
1994-03-04,46.94,47.06,45.91,46.69,2158000.0,-0.53,1.15,431600.0,5
1994-03-11,46.84,47.0,46.41,46.84,4704000.0,0.0,0.59,940800.0,5
1994-03-18,47.03,47.31,46.72,46.97,2050000.0,-0.13,0.59,410000.0,5
1994-03-25,46.81,47.06,45.94,45.94,2761000.0,-1.86,1.12,552200.0,5
1994-04-01,46.0,46.06,43.53,44.59,3327000.0,-3.07,2.53,831750.0,4
1994-04-08,43.34,45.13,43.34,44.69,5225000.0,3.11,1.79,1045000.0,5
1994-04-15,44.81,45.06,44.25,44.59,2774000.0,-0.49,0.81,554800.0,5
1994-04-22,44.64,45.05,43.98,44.86,1851000.0,0.49,1.07,370200.0,5
1994-04-29,44.84,45.36,44.81,45.09,1563000.0,0.56,0.55,390750.0,4
1994-05-06,45.09,45.72,44.59,44.75,1736000.0,-0.75,1.13,347200.0,5
1994-05-13,44.63,44.84,44.17,44.52,1919000.0,-0.25,0.67,383800.0,5
1994-05-20,44.61,45.86,44.5,45.56,2646000.0,2.13,1.36,529200.0,5
1994-05-27,45.52,45.94,45.34,45.88,2083000.0,0.79,0.6,416600.0,5
1994-06-03,45.73,46.39,45.56,46.23,966000.0,1.09,0.83,241500.0,4
1994-06-10,46.33,46.47,45.78,46.11,516000.0,-0.47,0.69,103200.0,5
1994-06-17,46.05,46.56,45.81,45.88,862000.0,-0.37,0.75,172400.0,5
1994-06-24,45.55,45.63,44.0,44.06,1833000.0,-3.27,1.63,366600.0,5
1994-07-01,44.23,45.02,44.02,44.56,6762000.0,0.75,1.0,1352400.0,5
1994-07-08,44.66,44.98,44.47,44.91,502000.0,0.56,0.51,125500.0,4
1994-07-15,44.94,45.48,44.52,45.39,1457000.0,1.0,0.96,291400.0,5
1994-07-22,45.39,45.58,45.06,45.34,1105000.0,-0.11,0.52,221000.0,5
1994-07-29,45.36,46.05,45.17,45.91,1981000.0,1.21,0.88,396200.0,5
1994-08-05,45.94,46.38,45.66,45.78,1506000.0,-0.35,0.72,301200.0,5
1994-08-12,45.83,46.34,45.72,46.33,2335000.0,1.09,0.62,467000.0,5
1994-08-19,46.38,46.73,46.16,46.42,2283000.0,0.09,0.57,456600.0,5
1994-08-26,46.44,47.78,46.28,47.69,1091000.0,2.69,1.5,218200.0,5
1994-09-02,47.81,47.98,47.22,47.3,1137000.0,-1.07,0.76,227400.0,5
1994-09-09,47.27,47.56,46.81,47.0,1031000.0,-0.57,0.75,257750.0,4
1994-09-16,47.0,47.64,46.78,47.02,2293000.0,0.04,0.86,458600.0,5
1994-09-23,47.13,47.33,45.73,45.91,1364000.0,-2.59,1.6,272800.0,5
1994-09-30,46.08,46.53,45.98,46.17,1228000.0,0.2,0.55,245600.0,5
1994-10-07,46.2,46.3,45.0,45.45,1153000.0,-1.62,1.3,230600.0,5
1994-10-14,45.66,47.33,45.64,47.05,2510000.0,3.04,1.69,502000.0,5
