DATE,OPEN,HIGH,LOW,CLOSE,VOL,Return_%,True_Range,Avg_Daily_Vol,Trading_Days
1993-12-31,43.97,47.16,42.81,46.59,51762800.0,5.97,4.34,221209,234
1994-12-31,46.59,48.31,43.34,45.56,101364400.0,-2.21,4.97,402240,252
1995-12-31,45.7,62.8,45.69,61.48,79076300.0,34.53,17.11,313795,252
1996-12-31,61.41,76.69,59.64,73.84,229314200.0,20.25,17.05,902812,254
1997-12-31,74.38,99.0,72.75,97.06,806460900.0,30.5,26.25,3187592,253
1998-12-31,97.31,124.75,90.91,123.31,1873262600.0,26.72,33.84,7433582,252
1999-12-31,123.38,147.56,120.38,146.88,1824218400.0,19.05,27.19,7238962,252
2000-12-31,148.25,155.75,125.53,131.19,1931577800.0,-11.51,30.22,7664991,252
2001-12-31,132.0,138.7,93.8,114.3,3420728000.0,-13.41,44.9,13793258,248
2002-12-31,115.11,117.99,77.07,88.23,8516467700.0,-23.35,40.92,33795507,252
2003-12-31,88.85,111.52,79.38,111.28,10303214100.0,25.24,32.14,40885770,252
2004-12-31,111.74,121.66,106.59,120.87,10794486300.0,8.17,15.07,42835263,252
2005-12-31,121.56,128.09,113.55,124.51,15408979600.0,2.43,14.54,61146744,252
2006-12-31,125.19,143.24,122.34,141.62,17580332100.0,13.12,20.9,70041164,251
2007-12-31,142.25,157.52,136.75,146.21,39313707500.0,2.78,20.77,156628317,251
2008-12-31,146.53,146.99,74.34,90.24,75960832400.0,-38.42,72.65,300240444,253
2009-12-31,90.44,113.03,67.1,111.44,62062517700.0,23.22,45.93,246279832,252
2010-12-31,112.37,126.2,101.13,125.75,52842437000.0,11.91,25.07,209692210,252
2011-12-31,126.71,137.18,107.43,125.5,54991433900.0,-0.95,29.75,218219976,252
2012-12-31,127.76,148.11,126.43,142.41,35832734200.0,11.47,21.68,143330937,250
2013-12-31,145.11,184.69,144.73,184.69,30627778200.0,27.28,39.96,121538802,252
2014-12-31,183.98,212.97,173.71,205.54,27670351600.0,11.72,39.26,109802983,252
2015-12-31,206.38,213.78,182.4,203.87,31152292100.0,-1.22,31.38,123620207,252
2016-12-31,200.49,228.34,181.02,223.53,26390533500.0,11.49,47.32,104724339,252
2017-12-31,225.04,268.6,223.88,266.86,17684746700.0,18.58,44.72,70457158,251
2018-12-31,267.84,293.94,233.76,249.92,24388282200.0,-6.69,60.18,97164471,251
2019-12-31,245.98,323.8,243.67,321.86,17650707500.0,30.85,80.13,70042490,252
2020-12-31,323.54,378.46,218.26,373.88,25390906800.0,15.56,160.2,100359315,253
2021-12-31,375.31,479.0,364.82,474.96,18596398600.0,26.55,114.18,73795233,252
2022-12-31,476.3,479.98,348.11,382.43,23784662100.0,-19.71,131.87,94759610,251
2023-12-31,384.37,477.55,377.83,475.31,20482640600.0,23.66,99.72,81930562,250
2024-12-31,472.16,609.07,466.43,586.08,14467792200.0,24.13,142.64,57411874,252
2025-12-31,589.39,691.66,481.8,681.92,18111251000.0,15.7,209.86,72445004,250
2026-12-31,685.71,779.37,629.28,767.81,11527184892.0,11.97,150.09,63336181,182
