month,debit,free_cash,free_margin
1997-01,103337,68856,
1997-02,103886,67058,
1997-03,104835,69553,
1997-04,102842,64825,
1997-05,111097,66879,
1997-06,118843,72422,
1997-07,121090,73714,
1997-08,124404,71211,
1997-09,131962,73087,
1997-10,134491,80287,
1997-11,132741,77259,
1997-12,131560,88590,
1998-01,132912,83362,
1998-02,141328,81932,
1998-03,146536,85580,
1998-04,146589,85771,
1998-05,150293,80174,
1998-06,154357,87891,
1998-07,160980,92687,
1998-08,155879,100093,
1998-09,144541,103879,
1998-10,138399,108179,
1998-11,148697,108032,
1998-12,148674,111507,
1999-01,162322,107200,
1999-02,162909,109523,
1999-03,166212,109941,
1999-04,184329,112290,
1999-05,189950,114271,
1999-06,187695,116982,
1999-07,189503,115017,
1999-08,187616,117149,
1999-09,189741,121207,
1999-10,194259,123457,
1999-11,218304,131786,
1999-12,241967,146582,
2000-01,260409,148567,
2000-02,284206,153540,
2000-03,299933,168002,
2000-04,268716,156868,
2000-05,256862,153843,
2000-06,264471,153050,
2000-07,263729,163050,
2000-08,265166,156775,
2000-09,270208,160964,
2000-10,250965,172738,
2000-11,237913,186459,
2000-12,210385,198179,
2001-01,208687,187225,
2001-02,198887,193266,
2001-03,174797,198581,
2001-04,176096,191145,
2001-05,183041,183493,
2001-06,179585,187602,
2001-07,173680,185100,
2001-08,169316,191219,
2001-09,157931,211281,
2001-10,152367,187012,
2001-11,159440,188441,
2001-12,160473,197424,
2002-01,160906,189841,
2002-02,154931,186919,
2002-03,160089,180578,
2002-04,159072,175730,
2002-05,157802,173395,
2002-06,153972,178744,
2002-07,143905,183326,
2002-08,139146,174995,
2002-09,136107,180997,
2002-10,138647,181069,
2002-11,139472,176062,
2002-12,139451,184715,
2003-01,141391,179528,
2003-02,140516,179925,
2003-03,144267,176955,
2003-04,143237,168756,
2003-05,153725,178946,
2003-06,168281,190026,
2003-07,174427,199973,
2003-08,167200,188112,
2003-09,171194,189826,
2003-10,175428,191554,
2003-11,182587,184899,
2003-12,181459,199297,
2004-01,189429,198628,
2004-02,190448,200323,
2004-03,191451,203953,
2004-04,198778,217992,
2004-05,193843,219640,
2004-06,193993,220781,
2004-07,187844,220196,
2004-08,187828,217945,
2004-09,193668,220860,
2004-10,197999,218090,
2004-11,211012,223928,
2004-12,217573,238192,
2005-01,220122,230624,
2005-02,223155,224392,
2005-03,226876,234533,
2005-04,217447,223839,
2005-05,219404,224933,
2005-06,224153,234352,
2005-07,233585,224242,
2005-08,231400,225410,
2005-09,244669,238929,
2005-10,239868,243174,
2005-11,242904,241695,
2005-12,244098,263205,
2006-01,255795,255819,
2006-02,249609,257573,
2006-03,259370,258928,
2006-04,265164,259342,
2006-05,255608,264307,
2006-06,251495,280275,
2006-07,256016,269376,
2006-08,249368,269423,
2006-09,261769,268612,
2006-10,267710,267462,
2006-11,294899,290910,
2006-12,303288,299023,
2007-01,311506,292521,
2007-02,321171,300072,
2007-03,317737,305479,
2007-04,342084,314744,
2007-05,382312,334359,
2007-06,408444,347617,
2007-07,416403,380971,
2007-08,362475,381550,
2007-09,359104,377364,
2007-10,376979,392543,
2007-11,379593,426721,
2007-12,355292,456353,
2008-01,365592,474496,
2008-02,377088,454785,
2008-03,349419,488831,
2008-04,332303,472371,
2008-05,341610,470188,
2008-06,346892,499634,
2008-07,343297,519226,
2008-08,324814,530042,
2008-09,345745,381702,
2008-10,277568,383429,
2008-11,227334,364232,
2008-12,210185,345713,
2009-01,205007,316763,
2009-02,199655,310503,
2009-03,203967,291927,
2009-04,208010,285658,
2009-05,214401,275313,
2009-06,217140,283874,
2009-07,228734,277082,
2009-08,236251,281989,
2009-09,254107,287196,
2009-10,265404,299858,
2009-11,250988,284071,
2009-12,262399,281043,
2010-01,266455,281035,
2010-02,263657,106131,164624
2010-03,277798,108908,162169
2010-04,295550,111217,160630
2010-05,268566,114051,166706
2010-06,263202,114265,172908
2010-07,267468,106290,172179
2010-08,268371,106870,174209
2010-09,288540,114321,173544
2010-10,303428,114784,176588
2010-11,309340,119305,176805
2010-12,313678,126098,182426
2011-01,326868,130894,173545
2011-02,348979,135760,179102
2011-03,355413,133386,170139
2011-04,360883,133131,175399
2011-05,355736,133727,175508
2011-06,345273,139575,183547
2011-07,344572,138316,182957
2011-08,308866,135508,193533
2011-09,298277,141806,204307
2011-10,317028,133639,188141
2011-11,303930,132934,188259
2011-12,301616,142533,189143
2012-01,309844,137309,174889
2012-02,323021,139609,177639
2012-03,330815,142297,182814
2012-04,335154,138909,182021
2012-05,315147,139111,187938
2012-06,320952,138937,192149
2012-07,313525,124330,194741
2012-08,320395,124276,196786
2012-09,339159,129389,205176
2012-10,342325,124800,200406
2012-11,351441,135650,202425
2012-12,355009,162206,211576
2013-01,388123,142856,199709
2013-02,390351,142123,208682
2013-03,403933,144530,197887
2013-04,408677,140706,191719
2013-05,401606,146765,199756
2013-06,407681,150093,200308
2013-07,412101,144495,194790
2013-08,414442,143808,195181
2013-09,432852,149895,197780
2013-10,445022,151494,199889
2013-11,456378,150214,199153
2013-12,478502,157000,197521
2014-01,487549,151878,195863
2014-02,502093,154049,190312
2014-03,487932,156083,194461
2014-04,475195,149801,194679
2014-05,475362,150474,188551
2014-06,502270,160293,184723
2014-07,498671,155931,177981
2014-08,501000,155245,180820
2014-09,503901,161621,183243
2014-10,492888,158624,185193
2014-11,496341,158420,184227
2014-12,495756,169295,181223
2015-01,485872,163599,178259
2015-02,504923,168371,170930
2015-03,518055,171625,170074
2015-04,549964,168430,167073
2015-05,541671,166334,169076
2015-06,547957,170614,168441
2015-07,530744,168659,169132
2015-08,515960,175647,168692
2015-09,497279,173760,167132
2015-10,513941,174437,163210
2015-11,515410,174607,165584
2015-12,503444,181812,159677
2016-01,487200,180616,162825
2016-02,474156,178989,168308
2016-03,483909,182673,172525
2016-04,495178,176016,187000
2016-05,489867,177161,187495
2016-06,487636,186233,189585
2016-07,513221,183435,188155
2016-08,510157,177764,185695
2016-09,540615,184757,182833
2016-10,523760,182051,182986
2016-11,539972,179598,187085
2016-12,529372,188062,189979
2017-01,553557,186301,186029
2017-02,568637,185720,184598
2017-03,577674,186892,184977
2017-04,590797,180908,184930
2017-05,582764,176970,185463
2017-06,584258,176707,187500
2017-07,594414,173195,184246
2017-08,596567,170524,183744
2017-09,606334,172872,183599
2017-10,607838,169368,184047
2017-11,627422,170948,185312
2017-12,642798,172999,182773
2018-01,665716,168450,181763
2018-02,645064,164657,183267
2018-03,645235,166148,180751
2018-04,652303,155989,179410
2018-05,668940,155344,181890
2018-06,646931,157150,179399
2018-07,652790,148947,178299
2018-08,652395,148873,178601
2018-09,648126,151384,188152
2018-10,607645,148037,183432
2018-11,592593,146452,178810
2018-12,554285,159572,190743
2019-01,568433,151804,186050
2019-02,581205,149686,181955
2019-03,574013,141074,180765
2019-04,588721,143802,178523
2019-05,568751,137489,179019
2019-06,596304,139826,179542
2019-07,602139,138703,182613
2019-08,564894,135567,181451
2019-09,555910,150648,187887
2019-10,554604,145650,183966
2019-11,563482,146935,186866
2019-12,579221,151543,186315
