Year,Release_Date,Notes
2020,Jan 10,
2020,Feb 7,
2020,Mar 6,
2020,Apr 3,
2020,May 8,
2020,Jun 5,
2020,Jul 2,
2020,Aug 7,
2020,Sep 4,
2020,Oct 2,
2020,Nov 6,
2020,Dec 4,
2021,Jan 8,
2021,Feb 5,
2021,Mar 5,
2021,Apr 2,
2021,May 7,
2021,Jun 4,
2021,Jul 2,
2021,Aug 6,
2021,Sep 3,
2021,Oct 8,
2021,Nov 5,
2021,Dec 3,
2022,Jan 7,
2022,Feb 4,
2022,Mar 4,
2022,Apr 1,
2022,May 6,
2022,Jun 3,
2022,Jul 8,
2022,Aug 5,
2022,Sep 2,
2022,Oct 7,
2022,Nov 4,
2022,Dec 2,
2023,Jan 6,
2023,Feb 3,
2023,Mar 10 (shifted),
2023,Apr 7,
2023,May 5,
2023,Jun 2,
2023,Jul 7,
2023,Aug 4,
2023,Sep 1,
2023,Oct 6,
2023,Nov 3,
2023,Dec 8,
2024,Jan 5,
2024,Feb 2,
2024,Mar 8,
2024,Apr 5,
2024,May 3,
2024,Jun 7,
2024,Jul 5,
2024,Aug 2,
2024,Sep 6,
2024,Oct 4,
2024,Nov 1,
2024,Dec 6,
2025,Jan 10,
2025,Feb 7,
2025,Mar 7,
2025,Apr 4,
2025,May 2,
2025,Jun 6,
2025,Jul 3,
2025,Aug 1,
2025,Sep 5,
2025,Oct 3,
2025,Nov 7,
2025,Dec 5,
2026,Jan 9,
2026,Feb 6,
2026,Mar 6 (just out—Feb data),
